Word,Phonetic,Meanings,Examples
obvious,ˈɒbvɪəs,"adjective - easily perceived or understood; clear, self-evident, or apparent. ","unemployment has been the most obvious cost of the recession;"

obviously,ˈɒbvɪəsli,"adverb - in a way that is easily perceived or understood; clearly. ","she was obviously unwell;"

occasion,əˈkeɪʒ(ə)n,"noun - a particular event, or the time at which it takes place. reason; cause. verb - cause (something). ","on one occasion I stayed up until two in the morning;it's the first time that I've had occasion to complain;something vital must have occasioned this visit;"

occasional,əˈkeɪʒ(ə)n(ə)l,"adjective - occurring, appearing, or done infrequently and irregularly. ","the occasional car went by but no taxis;"

occasionally,əˈkeɪʒ(ə)n(ə)li,"adverb - at infrequent or irregular intervals; now and then. ","we met up occasionally for a drink;"

occipital,ɒkˈsɪpɪt(ə)l,"adjective - relating to or situated in the back of the head. ","the occipital bone;"

occupant,ˈɒkjʊp(ə)nt,"noun - a person who resides or is present in a house, vehicle, seat, etc., at a given time. ","the previous occupant of her room;"

occupied,ˈɒkjʊpʌɪd,"adjective - (of a building, seat, etc.) being used by someone. busy and active. (of a place, especially a country) taken control of by military conquest or settlement. ","only the ground floor is fully occupied;tasks which kept her occupied for the day;the occupied territories;"
occupy,ˈɒkjʊpʌɪ,"verb - reside or have one's place of business in (a building). fill or preoccupy (the mind). take control of (a place, especially a country) by military conquest or settlement. ","the rented flat she occupies in Hampstead;her mind was occupied with alarming questions;Syria was occupied by France under a League of Nations mandate;"

occur,əˈkəː,"verb - happen; take place. ","the accident occurred at about 3.30 p.m.;"

occur,əˈkəː,"verb - happen; take place. ","the accident occurred at about 3.30 p.m.;"

occurrence,əˈkʌr(ə)ns,"noun - an incident or event. ","vandalism used to be a rare occurrence;"

octavo,ɒkˈtɑːvəʊ,"noun - a size of book page that results from folding each printed sheet into eight leaves (sixteen pages). ","foolscap octavo;"

October,ɒkˈtəʊbə,"noun - the tenth month of the year, in the northern hemisphere usually considered the second month of autumn. ","the project started in October;"

odd,ɒd,"adjective - different to what is usual or expected; strange. (of whole numbers such as 3 and 5) having one left over as a remainder when divided by two. happening or occurring infrequently and irregularly; occasional. separated from a usual pair or set and therefore out of place or mismatched. ","the neighbours thought him very odd;atoms which possess an odd number of electrons;we have the odd drink together;he's wearing odd socks;"

odour,ˈəʊdə,"noun - a distinctive smell, especially an unpleasant one. a lingering quality or impression attaching to something. ","the odour of cigarette smoke;an odour of suspicion;"

of,ɒv,"preposition - expressing the relationship between a part and a whole. expressing the relationship between a scale or measure and a value. indicating an association between two entities, typically one of belonging, in which the first is the head of the phrase and the second is something associated with it. expressing the relationship between a direction and a point of reference. expressing the relationship between a general category or type and the thing being specified which belongs to such a category. following a noun derived from or related to a verb. where the head of the phrase is a predicative adjective. indicating the relationship between a verb and an indirect object. indicating the material or substance constituting something. expressing time in relation to the following hour. ","null;an increase of 5%;the son of a friend;north of Watford;the city of Prague;null;it was kind of you to ask;null;the house was built of bricks;it would be just a quarter of three in New York;"
of-,ɒf,"prefix - variant spelling of ob- assimilated before f (as in offend ). ","null;"

off,ɒf,"adverb - away from the place in question; to or at a distance. so as to be removed or separated. starting a journey or race; leaving. so as to bring to an end or be discontinued. (of an electrical appliance or power supply) not functioning or so as to cease to function. having access to or possession of material goods or wealth to the extent specified. (with preceding numeral) denoting a quantity produced at one time. preposition - moving away and often down from. situated or leading in a direction away from (a main route or intersection). so as to be removed or separated from. having a temporary dislike of. adjective - characterized by performing or feeling worse than usual; unsatisfactory or inadequate. (of food) no longer fresh. located on the side of a vehicle that is normally furthest from the kerb; offside. annoying or unfair. unfriendly or hostile. noun - the half of the field (as divided lengthways through the pitch) towards which the batsman's feet are pointed when standing to receive the ball. the start of a race, journey, or experience. verb - leave. kill; murder. ","the man ran off;he whipped off his coat;we're off on holiday tomorrow;the Christmas party rounded off a hugely successful year;switch the TV off;we'd been rather badly off for books;null;he rolled off the bed;single wires leading off the main lines;threatening to tear the door off its hinges;he's running a temperature and he's off his food;even the greatest athletes have off days;the fish was a bit off;null;His boss deducted the money from his pay. That was a bit off;there's no one there except the barmaid, and she's a bit off;null;now Ian is ready for the off;supposedly loyal workers suddenly upped and offed to the new firms;I finally snapped and offed the guy;"
